"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/22/2020","AQS","060179000","1","1.5","ug/m3 LC","6","Bliss SP","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.9759996246692","-120.103505924399"
"01/25/2020","AQS","060179000","1","0.6","ug/m3 LC","3","Bliss SP","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.9759996246692","-120.103505924399"
"01/01/2020","AQS","060179001","1","5.6","ug/m3 LC","23","Lake Tahoe Community College","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.9248","-119.97"
"01/04/2020","AQS","060179001","1","1.6","ug/m3 LC","7","Lake Tahoe Community College","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.9248","-119.97"
"01/07/2020","AQS","060179001","1","1.8","ug/m3 LC","8","Lake Tahoe Community College","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.9248","-119.97"
"01/10/2020","AQS","060179001","1","8.6","ug/m3 LC","36","Lake Tahoe Community College","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.9248","-119.97"
"01/13/2020","AQS","060179001","1","0.7","ug/m3 LC","3","Lake Tahoe Community College","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.9248","-119.97"
"01/16/2020","AQS","060179001","1","0.7","ug/m3 LC","3","Lake Tahoe Community College","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.9248","-119.97"
"01/19/2020","AQS","060179001","1","4.7","ug/m3 LC","20","Lake Tahoe Community College","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.9248","-119.97"
"01/22/2020","AQS","060179001","1","1.7","ug/m3 LC","7","Lake Tahoe Community College","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.9248","-119.97"
"01/25/2020","AQS","060179001","1","5.8","ug/m3 LC","24","Lake Tahoe Community College","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.9248","-119.97"
"01/28/2020","AQS","060179001","1","1.1","ug/m3 LC","5","Lake Tahoe Community College","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.9248","-119.97"
"01/31/2020","AQS","060179001","1","2.4","ug/m3 LC","10","Lake Tahoe Community College","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","017","El Dorado","38.9248","-119.97"
"01/01/2020","AQS","060610003","1","15.7","ug/m3 LC","59","Auburn-Atwood","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.93568","-121.09959"
"01/02/2020","AQS","060610003","1","9.1","ug/m3 LC","38","Auburn-Atwood","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.93568","-121.09959"
"01/03/2020","AQS","060610003","1","14","ug/m3 LC","55","Auburn-Atwood","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.93568","-121.09959"
"01/04/2020","AQS","060610003","1","14.7","ug/m3 LC","56","Auburn-Atwood","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.93568","-121.09959"
"01/05/2020","AQS","060610003","1","10.3","ug/m3 LC","43","Auburn-Atwood","1","100.0000","88101","PM2.5 - Local Conditions","40900","Sacramento--Roseville--Arden-Arcade, CA","06","California","061","Placer","38.93568","-121.09959"
